# NIFTY 500 constituents (representative sample for development)
# In production, this would be updated periodically from NSE
# Format: symbol,name,sector,added_date
symbol,name,sector,added_date
DLF,DLF Ltd,Realty,2000-01-01
TRENT,Trent Ltd,Consumer,2000-01-01
ZOMATO,Zomato Ltd,Consumer,2020-01-01
INDIGO,InterGlobe Aviation Ltd,Services,2015-01-01
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Industrials,2000-01-01
BANKBARODA,Bank of Baroda,Financials,2000-01-01
PNB,Punjab National Bank,Financials,2000-01-01
CANBK,Canara Bank,Financials,2000-01-01
UNIONBANK,Union Bank of India,Financials,2000-01-01
IOC,Indian Oil Corporation Ltd,Energy,2000-01-01
GAIL,GAIL (India) Ltd,Energy,2000-01-01
TATAPOWER,Tata Power Company Ltd,Utilities,2000-01-01
ADANIGREEN,Adani Green Energy Ltd,Utilities,2020-01-01
RECLTD,REC Ltd,Financials,2000-01-01
PFC,Power Finance Corporation Ltd,Financials,2000-01-01
IRFC,Indian Railway Finance Corporation Ltd,Financials,2020-01-01
NHPC,NHPC Ltd,Utilities,2000-01-01
SAIL,Steel Authority of India Ltd,Materials,2000-01-01
NMDC,NMDC Ltd,Materials,2000-01-01
JINDALSTEL,Jindal Steel & Power Ltd,Materials,2000-01-01
TVSMOTOR,TVS Motor Company Ltd,Auto,2000-01-01
MOTHERSON,Samvardhana Motherson International Ltd,Auto,2000-01-01
BOSCHLTD,Bosch Ltd,Auto,2000-01-01
MRF,MRF Ltd,Auto,2000-01-01
EXIDEIND,Exide Industries Ltd,Auto,2000-01-01
APOLLOTYRE,Apollo Tyres Ltd,Auto,2000-01-01
BALKRISIND,Balkrishna Industries Ltd,Auto,2000-01-01
BHARATFORG,Bharat Forge Ltd,Auto,2000-01-01
AUROPHARMA,Aurobindo Pharma Ltd,Pharma,2000-01-01
LUPIN,Lupin Ltd,Pharma,2000-01-01
BIOCON,Biocon Ltd,Pharma,2000-01-01
ALKEM,Alkem Laboratories Ltd,Pharma,2000-01-01
IPCALAB,Ipca Laboratories Ltd,Pharma,2000-01-01
LAURUSLABS,Laurus Labs Ltd,Pharma,2015-01-01
MAXHEALTH,Max Healthcare Institute Ltd,Healthcare,2020-01-01
FORTIS,Fortis Healthcare Ltd,Healthcare,2000-01-01
PAGEIND,Page Industries Ltd,Consumer,2000-01-01
COLPAL,Colgate-Palmolive (India) Ltd,Consumer,2000-01-01
MARICO,Marico Ltd,Consumer,2000-01-01
EMAMILTD,Emami Ltd,Consumer,2000-01-01
